question,answer,answer_number,equation_solution
"Un nuovo programma aveva 60 download nel primo mese.Il numero di download nel secondo mese è stato di tre volte più dei download nel primo mese, ma poi ridotti del 30% nel terzo mese.Quanti download ha avuto il programma in totale nei tre mesi?",,366,
"Toula andò al forno e acquistò vari tipi di pasticcini.Ha comprato 3 dozzine di ciambelle che costano $ 68 per dozzina, 2 dozzine di mini cupcakes che costano $ 80 per dozzina e 6 dozzine di mini cheesecakes per $ 55 per dozzina.Quanto era il costo totale?",,694,
"Carlos sta piantando un albero di limone.L'albero costerà $ 90 per piantare.Ogni anno crescerà 7 limoni, che può vendere per $ 1,5 ciascuno.Costa $ 3 all'anno per annaffiare e nutrire l'albero.Quanti anni ci vorranno prima che inizi a guadagnare denaro sull'albero del limone?",,13,
"Melanie è una commessa porta a porta.Ha venduto un terzo dei suoi aspirapolvere alla Green House, altri 2 alla Red House e metà di ciò che è rimasto alla Orange House.Se Melanie ha rimasti 5 aspirapolvere, quanti ne ha iniziati?",,18,
"In una classe di danza di 20 studenti, il 20% si è iscritto alla danza contemporanea, il 25% dei restanti si è iscritto alla danza jazz e il resto si è iscritto alla danza hip-hop.Quale percentuale di tutti gli studenti iscritti alla danza hip-hop?",,60,
"Un commerciante vuole fare una scelta di acquisto tra 2 piani di acquisto: gioielli per un valore di $ 5.000 o gadget elettronici per un valore di $ 8.000.Il suo consulente finanziario ipotizza che il mercato dei gioielli aumenterà del 2,5% mentre il mercato dei gadget elettronici aumenterà dell'1,2% nello stesso mese.Se il commerciante sta cercando di massimizzare il profitto alla fine di questo mese facendo una scelta, quanto profitto sarebbe questo?",,125,
"Due treni lasciano San Rafael allo stesso tempo.Cominciano a viaggiare verso ovest, entrambi viaggiando per 80 miglia.Il giorno successivo, viaggiano verso nord, coprendo 150 miglia.Qual è la distanza coperta da ogni treno nei due giorni?",,230,
"Jill viene pagato $ 20 l'ora per insegnare e $ 30 per essere un allenatore di cheerleader.Se lavora 50 settimane all'anno, 35 ore a settimana come insegnante e 15 ore a settimana come allenatore, qual è il suo stipendio annuale?",,57500,
Claire fa una frittata di 3 uova ogni mattina per colazione.Quante dozzine di uova mangerà tra 4 settimane?,,7,
"Marissa sta facendo un'escursione su un sentiero di 12 miglia.Ha impiegato 1 ora per camminare per le prime 4 miglia, poi un'altra ora per camminare per le due miglia successive.Se vuole che la sua velocità media sia 4 miglia all'ora, che velocità (in miglia all'ora) ha bisogno di percorrere la distanza rimanente?",,6,
"Ho 10 litri di bevanda arancione che sono due terzi di acqua e desidero aggiungerlo a 15 litri di bevanda all'ananas che è tre quinti in acqua.Ma mentre lo vendo, mi rovescia un litro di bevanda arancione.Quanta acqua è nei restanti 24 litri?",,15,
"Raymond e Samantha sono cugini.Raymond è nato 6 anni prima di Samantha.Raymond aveva un figlio all'età di 23 anni. Se Samantha ora ha 31 anni, quanti anni fa è nato il figlio di Raymond?",,14,
Billy vende DVD.Martedì ha 8 clienti.I suoi primi 3 clienti acquistano un DVD ciascuno.I suoi prossimi 2 clienti acquistano 2 DVD ciascuno.I suoi ultimi 3 clienti non acquistano alcun DVD.Quanti DVD ha venduto Billy martedì?,,7,
Una candela si scioglie di 2 centimetri ogni ora che brucia.Quanti centimetri più corti sarà una candela dopo aver bruciato dalle 13:00 alle 17:00?,,8,
"Kyle ha acquistato il libro più venduto dell'anno scorso per $ 19,50.Questo è con uno sconto del 25% dal prezzo originale.Qual era il prezzo originale del libro?",,26,
"Marie ha ordinato un pasto di pollo che costa $ 12, 5 pacchetti di latte che costa $ 3 ciascuno, 4 mele che costano $ 1,50 ciascuno e alcune scatole di pizza.Marie ha pagato un totale di $ 50.Quante scatole di pizza hanno ordinato Marie se ogni scatola costa $ 8,50?",,2,
"Mishka acquistò 3 paia di pantaloncini, 3 paia di pantaloni e 3 paia di scarpe.Una coppia di pantaloncini costa $ 16,50.Un paio di pantaloni costa $ 22,50 e un paio di scarpe costa $ 42.Quanti dollari ha speso Mishka per tutti gli oggetti di abbigliamento?",,243,
"Cynthia mangia una porzione di gelato ogni notte.Acquista cartoni di gelato con 15 porzioni di gelato per cartone al costo di $ 4,00 per cartone.Dopo 60 giorni, quanto spenderà per il gelato?",,16,
Henry fece due fermate durante il suo viaggio in bicicletta di 60 miglia.Si è fermato per la prima volta dopo 20 miglia.La sua seconda fermata è stata di 15 miglia prima della fine del viaggio.Quante miglia ha viaggiato tra la sua prima e la seconda fermata?,,25,
"Gloria sta shopping per scarpe quando si imbatte in un paio di stivali che si adattano al budget per le scarpe.Tuttavia, deve scegliere tra gli stivali e due coppie di tacchi alti che insieme costano cinque dollari in meno degli stivali.Se una coppia di tacchi costa $ 33 e l'altro costa il doppio, quanti dollari sono gli stivali?",,104,
"Darrell e Allen's Età hanno un rapporto di 7:11.Se la loro età totale ora è di 162 anni, calcola l'età di Allen tra 10 anni.",,109,
Gunter sta cercando di contare le gelatine in un barattolo.Chiede ai suoi amici quanti pensano siano nel barattolo.Uno dice 80. Un altro dice 20 in più della metà del primo.Un terzo dice il 25% in più rispetto al primo.Qual è la loro ipotesi media?,,80,
"John si prende cura di 10 cani.Ogni cane impiega 0,5 ore al giorno per camminare e prendersi cura della propria attività.Quante ore alla settimana trascorre prendersi cura dei cani?",,35,
Gretchen ha 110 monete.Ci sono altre 30 monete d'oro rispetto alle monete d'argento.Quante monete d'oro ha Gretchen?,,70,
"Siobhan ha 2 gioielli in meno di Aaron.Aaron ha 5 gioielli in più rispetto alla metà dei gioielli di Raymond.Se Raymond ha 40 gioielli, quanti gioielli ha Siobhan?",,23,
"Mike gioca a Ping Pong per 40 minuti.Nei primi 20 minuti, segna 4 punti.Nel secondo 20 minuti, segna il 25% in più di punti.Quanti punti totali ha segnato?",,9,
"Terry mangia 2 yogurt al giorno.Sono attualmente in vendita a 4 yogurt per $ 5,00.Quanto trascorre in yogurt per oltre 30 giorni?",,75,
John prevede di vendere tutti i suoi giocattoli e usare i soldi per acquistare videogiochi.Ha 13 set Lego e li vende per $ 15 ciascuno.Finisce per acquistare 8 videogiochi per $ 20 ciascuno e resta $ 5.Quanti set Lego ha ancora?,,2,
John corre 60 miglia a settimana.Corre 3 giorni alla settimana.Gestisce 3 ore il primo giorno e la metà degli altri due giorni che corre.Quanto velocemente corre?,,10,
"Dana può correre a una velocità di velocità quattro volte più veloce di quanto possa camminare, ma può saltare a una velocità che è la metà più veloce che può correre.Se può saltare a 3 miglia all'ora, quante miglia può viaggiare in sei ore se trascorre un terzo del tempo a correre e due terzi del tempo a camminare?",,18,
"L'iPhone di Brandon è quattro volte vecchio come l'iPhone di Ben.L'iPhone di Ben è due volte più vecchio dell'iPhone di Suzy.Se l'iPhone di Suzy ha 1 anno, quanti anni ha l'iPhone di Brandon?",,8,
"Il grande drago, Perg, si sedette in alto in cima a Monte Farbo, respirando fuoco su qualsiasi distanza di 1000 piedi.Polly poteva gettare il giavellotto d'oro, l'unica arma conosciuta che poteva slittare il drago, per una distanza di 400 piedi, ben alla portata delle fiamme del drago.Ma quando Polly teneva la pietra preziosa di zaffiro, poteva gettare il giavellotto tre volte più lontano di quando non si tiene la gemma.Se tengono la gemma, quanto lontano dalla portata delle fiamme del drago potrebbe stare in piedi e colpire ancora il drago con il giavellotto d'oro?",,200,
"La nonna Jones ha cotto 5 torte di mele per il pranzo del pompiere.Ha tagliato ogni torta in 8 pezzi e ha messo le cinque torte sul tavolo a buffet affinché gli ospiti possano servire da soli.Alla fine della sera, dopo che gli ospiti avevano preso e mangiato i loro pezzi di torta, rimanevano 14 pezzi di torta.Quanti pezzi sono stati prelevati dagli ospiti?",,26,
"Secondo le sue informazioni nutrizionali, un sacchetto di patatine ha 250 calorie per porzione.Se una borsa da 300 g ha 5 porzioni, quanti grammi puoi mangiare se il tuo obiettivo calorico giornaliero è 2000 e hai già consumato 1800 calorie?",,48,
"Charlie vuole vendere candele d'api.Per ogni chilo di cera d'api, può realizzare 10 candele affusolate.Una libbra di cera d'api e gli stoppini costa $ 10,00 in materiali di consumo.Se vende ogni candela per $ 2,00 ciascuno, qual è il suo profitto netto se fa e vende 20 candele?",,20,
"Meredith è un blogger freelance che scrive di argomenti di salute e si sottomette ai clienti ogni giorno come lavoro permanente.Un articolo del blog impiega una media di 4 ore per ricercare e scrivere.La scorsa settimana, ha scritto 5 articoli il lunedì e 2/5 volte più articoli il martedì rispetto a lunedì.Mercoledì ha scritto il doppio del numero di articoli che ha scritto martedì.Calcola il numero totale di ore che ha trascorso a scrivere articoli nei tre giorni.",,104,
"Candice ha messo 80 appunti post-it nella sua borsa prima di dirigersi verso il suo lavoro nella caffetteria.Sulla sua strada, si fermò al negozio e acquistò un pacchetto di appunti post-it;Al lavoro, ha messo una sola nota post-it su ciascuna delle 220 diverse tazze di caffè.Se aveva 23 appunti post-it rimanenti in generale, quante note post-it erano nel pacchetto che ha acquistato?",,163,
John acquista il doppio dei legami rossi dei legami blu.I legami rossi costano il 50% in più rispetto ai legami blu.Ha speso $ 200 in legami blu che costano $ 40 ciascuno.Quanto ha speso per i legami?,,800,
Tracy ha usato un pezzo di filo lungo 4 piedi per supportare le piante di pomodoro nel giardino.Il filo è stato tagliato a pezzi lunghi 6 pollici.Quanti pezzi ha ottenuto?,,8,
Richard vive in un condominio con 15 piani.Ogni piano contiene 8 unità e 3/4 dell'edificio sono occupati.Qual è il numero totale di unità non occupate nell'edificio?,,30,
Lloyd ha una fattoria di uova.Le sue galline producono 252 uova al giorno e le vende per $ 2 per dozzina.Quanto fa Lloyd sulle uova a settimana?,,294,
La nave di Tom può viaggiare a 10 miglia all'ora.Sta navigando dalle 13 alle 16.Quindi viaggia a una velocità di 6 mph.Quanto tempo ci vuole per tornare?,,5,
"La borsa del libro di Uriah sta diventando troppo pesante per lui.Deve rimuovere 15 chili da esso.I suoi fumetti pesano 1/4 libbre ciascuno e i suoi giocattoli pesano 1/2 libbra ciascuno.Se rimuove 30 fumetti, quanti giocattoli deve rimuovere?",,15,
"Un meccanico addebita tariffe diverse per riparare le gomme di camion e auto.Per ogni pneumatico per camion che viene riparato, il meccanico addebiterà $ 60 e per ogni pneumatico per auto che viene riparato, il meccanico addebiterà $ 40.Giovedì, il meccanico ripara 6 pneumatici per camion e 4 pneumatici per auto.Venerdì, il meccanico ripara 12 auto e non ripara i pneumatici per camion.Quanto più entrate hanno guadagnato il meccanico durante il giorno con entrate più elevate?",,40,
"Le sorelle dei dubbi stanno tornando a casa con 7 gattini adottati dal rifugio per animali locali quando la madre chiama per informarli che i loro due gatti di casa hanno appena avuto i gattini.Dice che irregolare, il primo gatto, ha avuto tre volte il numero di gattini adottati, mentre Trixie, l'altro gatto, ha avuto 12. Quanti gattini ha la famiglia di dubbi ora?",,40,
"Jean ha 30 lecca.Jean mangia 2 dei lecca -lecca.Con i lecca -lecca rimanenti, Jean vuole impacchettare 2 lecca in una borsa.Quante borse può riempire Jean?",,14,
"Peter ha in programma di andare al cinema questa settimana.Ottiene sempre un biglietto per $ 7 e popcorn per $ 7.Se ha 42 dollari per la settimana, quante volte può andare al cinema?",,3,
"Un ponte di legno non può trasportare più di 5000 libbre.Un camion di consegna riempito con scatole identiche, ciascuna del peso di 15 chili, passerà oltre il ponte.Il peso combinato del conducente e il camion vuoto è di 3755 libbre.Qual è il numero massimo di scatole che possono essere caricate sul camion senza superare il limite di peso del ponte?",,83,
"Stephen ha effettuato un ordine online per la spesa.Il suo ultimo conto è arrivato a $ 40,00.Poiché questo è stato attraverso un fornitore di consegne, hanno attaccato una commissione del 25% al ​​suo totale finale e gli hanno addebitato $ 3,00 in commissioni di consegna.Stephen ha anche aggiunto un suggerimento di $ 4,00.Dopo le commissioni extra, qual era il prezzo finale dei generi alimentari di Stephen?",,57,
Un cespuglio di lampone ha 6 gruppi di 20 frutti ciascuno e 67 singoli frutti sparsi attraverso il cespuglio.Quante lamponi ci sono in totale?,,187,
"Un cestino contiene 25 arance tra cui 1 è cattivo, il 20% è acerbo, 2 sono aspri e il resto è buono.Quante arance sono buone?",,17,
"Janet compra una spilla per sua figlia.Paga $ 500 per il materiale per farlo e poi un altro $ 800 affinché il gioielliere lo costruisca.Dopodiché, ne paga il 10% per assicurarlo.Quanto ha pagato?",,1430,
"Se Marcy lavora per la stessa azienda per 40 anni, ottiene una pensione annuale di $ 50.000/anno.A partire da 20 anni, ha diritto al 5% del valore della pensione all'anno.Se smette dopo 30 anni, quale sarà la sua pensione annuale?",,25000,
"Aleena si è iscritta a un servizio di streaming che gli addebita $ 140 al mese.Se la società di streaming le ha addebitato l'importo iniziale per la prima metà dell'anno e poi le ha addebitato il 10% in meno di denaro sull'altra metà dell'anno, calcola l'importo totale che aveva pagato per il servizio di streaming entro la fine dell'anno.",,1596,
Sophia sta pensando di fare un viaggio in auto e vorrebbe sapere fino a che punto può guidare su un singolo serbatoio di gas.Ha viaggiato per 100 miglia dall'ultima volta che ha riempito il suo carro armato e ha bisogno di mettere di nuovo 4 litri di gas per riempirlo di nuovo.Il manuale del proprietario per la sua auto dice che il suo carro armato contiene 12 litri di gas.Quante miglia può guidare Sophia su un singolo serbatoio di gas?,,300,
Jim trascorre 2 ore a guardare la TV e poi decide di andare a letto e legge per metà.Lo fa 3 volte a settimana.Quante ore trascorre in TV e leggendo in 4 settimane?,,36,
"Ci sono quattro scuole in competizione in un torneo di basket.Ogni scuola ha inviato una squadra di basket femminile e una squadra di basket per ragazzi e ogni squadra ha 5 giocatori ciascuno.Ogni scuola ha anche inviato un allenatore per ogni squadra.In totale, quante persone hanno inviato tutte le scuole?",,48,
"Un cacciatore di tesori ha trovato un tesoro sepolto pieno di gemme.C'erano 175 diamanti, 35 rubini in meno rispetto ai diamanti e il doppio del numero di smeraldi rispetto ai rubini.Quante gemme c'erano nel petto?",,595,
"Ci sono il doppio dei ragazzi delle ragazze della scuola del Dr. Wertz.Se ci sono 60 ragazze e 5 studenti per ogni insegnante, quanti insegnanti ci sono?",,36,
"Bailey inizia con una certa somma di denaro.Quindi riceve un'indennità settimanale di $ 5 per 8 settimane.Alla fine delle 8 settimane, se ha un totale di $ 100, con quanti soldi ha iniziato Bailey?",,60,
"Judy insegna 5 lezioni di danza, ogni giorno, nei giorni feriali e 8 lezioni di sabato.Se ogni classe ha 15 studenti e addebita $ 15,00 per studente, quanti soldi guadagna in 1 settimana?",,7425,
"Kelian ha due ricette per la preparazione di piatti, una con 20 istruzioni e la seconda con il doppio delle istruzioni delle prime.Quante istruzioni deve leggere Kelian per preparare i due piatti?",,60,
"Tommy è raccolta fondi per la sua organizzazione benefica vendendo brownies per $ 3 a fetta e cheesecakes per $ 4 a fetta.Se Tommy vende 43 brownies e 23 fette di cheesecake, quanti soldi raccoglie Tommy?",,221,
Shiela ha acquistato cinque telefoni cellulari per $ 150 ciascuno per una puntata di 3 mesi.Un interesse del 2% verrà addebitato per ciascuna unità.Quanto pagherà Shiela ogni mese per 3 mesi?,,255,
"Artie ha un supporto di fiori al mercato degli agricoltori.Vende tre tipi di fiori: calendule, petunie e begonias.Di solito vende calendule per $ 2,74 per vaso, petunias per $ 1,87 per vaso e begonie per $ 2,12 per vaso.Artie non ha alcun cambiamento oggi, quindi ha deciso di arrotondare tutti i suoi prezzi al dollaro più vicino.Se Artie vende 12 vasi di calendule, 9 vasi di petunie e 17 vasi di begonie, quanto farà?",,88,
"Luke trascorre del tempo in Beach Building Sandcastles.Alla fine nota che ogni livello di sabbia avrà metà del filmato quadrato come livello sotto di esso.Se produce un sabbia a 4 livellati in cui il livello superiore ha un filmato quadrato di 16, qual è il filmato medio quadrato di un livello?",,60,
"Cecilia ha appena acquistato un nuovo cucciolo.Secondo il suo veterinario, deve nutrire ogni giorno il cucciolo di cibo per cani per i primi 180 giorni.Quindi deve nutrire ogni giorno le tazze di cuccioli 2 di cibo per cani per il resto della sua vita.Se un sacchetto di cibo per cani contiene 110 tazze, quante sacchi di cibo per cani utilizzerà Cecilia nel primo anno?",,5,
"Se Raymond fa la metà del bucato di Sarah, e Sarah fa 4 volte più la biancheria di David, calcola la differenza nella quantità di lavanderia Raymond e David fa se Sarah fa 400 libbre di lavanderia.",,100,
"Vincent può acquistare fiori in pacchetti di 3 per $ 2,50 o in pacchetti di 2 per $ 1.Quanti soldi risparmia acquistando 18 fiori al prezzo migliore?",,6,
"John adotta un cane.Porta il cane dal toelettatore, che costa $ 100.Il toelettatore gli offre uno sconto del 30% per essere un nuovo cliente.Quanto costa la toelettatura?",,70,
Due ragazze hanno ottenuto 1/6 dei 24 litri di acqua.Quindi un ragazzo ha ottenuto 6 litri di acqua.Quanti litri d'acqua sono rimasti?,,10,
Charlie aveva 10 adesivi.Ha comprato 21 adesivi da un negozio nel centro commerciale e ha ottenuto 23 adesivi per il suo compleanno.Quindi Charlie ha dato 9 degli adesivi a sua sorella e ha usato 28 per decorare un biglietto di auguri.Quanti adesivi ha lasciato Charlie?,,17,
La grazia pesa 125 libbre.Alex pesa 2 chili in meno di 4 volte ciò che la grazia pesa.Quali sono i loro pesi combinati in chili?,,623,
Dan pianta 3 cespugli di rose.Ogni cespuglio di rose ha 25 rose.Ogni rosa ha 8 spine.Quante spine ci sono in totale?,,600,
Una squadra di calcio ha giocato 22 partite.Hanno vinto 8 in più di quanto hanno perso.Quanti hanno vinto?,,15,
Il gene sta cucendo una trapunta dalle vecchie magliette di souvenir.Ha una maglietta da ogni vacanza in cui è stato.Ogni maglietta è il suo blocco di trapunta.Ogni riga è realizzata con blocchi da un diverso anno di vacanze.Va in quattro vacanze all'anno ed è in vacanza da quando aveva 23 anni.Ora ha 34 anni. Quanti blocchi di trapunta ha in totale?,,44,
"Greg ha un allarme che suona tre volte al giorno come promemoria.Quando l'allarme suona, continua a squillare fino a quando Greg non lo spegne.La prima volta è uscito oggi, ha suonato quattro volte.La seconda volta è uscito, ha suonato per tre volte la prima volta.La terza volta, ha suonato per la metà della seconda volta.Quante volte l'allarme ha squillato in tutto?",,22,
"Una società paga a ciascuno dei suoi dipendenti $ 600 in un mese.La società ha la politica di aumentare gli stipendi di ciascuno dei suoi dipendenti del 10% dello stipendio iniziale ogni anno per coloro che sono rimasti in azienda per cinque anni.Se Sylvie ha appena registrato 5 anni in compagnia lo scorso dicembre, qual è il suo stipendio annuale dopo altri tre anni di servizio?",,9360,
"Il primo record di Marilyn ha venduto 10 volte più copie di Harald's.Se hanno venduto 88.000 copie combinate, quante copie ha venduto Harald?",,8000,
"Christina sta organizzando una festa di compleanno e ha bisogno di sacchetti regalo .75 per ospite invitato, perché 1/4 dei partecipanti non si presenta.Ha invitato 16 amici.I sacchetti regalo costano $ 2 ciascuno.Quanto spenderà?",,24,
"Ted the T-Rex stava pianificando di portare insalata di patate al picnic di dinosauro.Sa che un dinosauro adulto mangerà 10 libbre di insalata di patate e un bambino mangerà la metà di un adulto.Se ci saranno 20 adulti e 5 bambini al picnic, di quante chili di insalata di patate ha bisogno di Ted per portare al picnic se spera di avere abbastanza per nutrire tutti?",,225,
"Jan ha tre volte il numero di animali domestici come Marcia.Marcia ha due animali domestici in più di Cindy.Se Cindy ha quattro animali domestici, quanti animali totali hanno i tre?",,28,
"Emily ha 4 bambini di nome Amy, Jackson, Corey e James.Amy ha 5 anni più di Jackson e 2 anni più giovane di Corey.Se James ha 10 anni e ha 1 anno più giovane di Corey, quanti anni ha Jackson?",,4,
"Lee era in grado di eseguire gli ostacoli di 400 metri due secondi più velocemente di quanto Gerald avrebbe eseguito gli ostacoli da 400 metri.Ma Gerald ha cambiato la sua dieta, il che ha migliorato la sua velocità del 10%.Se Lee esegue gli ostacoli di 400 metri in 38 secondi, quanto velocemente può Gerald, con la sua dieta migliorata, eseguire gli ostacoli di 400 metri, in pochi secondi?",,36,
"In un quartiere, il numero di animali domestici di conigli è dodici in meno rispetto al numero combinato di cani e gatti.Se ci sono due gatti per ogni cane e il numero di cani è 60, quanti animali domestici in totale sono nel quartiere?",,348,
"Dei 200 studenti di grado 5, 2/5 sono ragazzi e 2/3 delle ragazze sono nella Girl Scout.Quante ragazze non sono nella ragazza scout?",,40,
Harry ha dormito 9 ore la scorsa notte.Il suo amico James ha dormito solo 2/3 di ciò che Harry ha dormito.Quante ore hanno dormito Harry di James?,,3,
"Quando Freda cucina i pomodori in scatola in salsa, perdono metà del loro volume.Ogni lattina da 16 once di pomodori che usa contiene tre pomodori.L'ultimo lotto di salsa di pomodoro di Freda ha realizzato 32 once di salsa.Quanti pomodori ha usato Freda?",,12,
"Le auto si sono messe in fila in autostrada.Alcune auto passano attraverso i primi 15 minuti di ingorgo, quindi altre 20 auto passano attraverso i restanti 15 minuti di marmellata.5 auto dalla linea prendono un'uscita in modo da non dover guidare attraverso il traffico.Se in origine c'erano 30 auto in autostrada, quante auto attraversavano il traffico nei primi 15 minuti?",,5,
"Mary è un'avida giardiniere.Ieri ha ricevuto 18 nuove piante in vaso dal suo asilo per piante preferito.Ha già 2 piante in vaso su ciascuna delle 40 sporgenze delle finestre della sua grande casa di campagna.Sentendosi generosi, ha deciso che darà 1 pianta in vaso da ogni sporgenza ad amici e familiari domani.Con quante piante in vaso rimarranno Maria?",,58,
"Jerome aveva 4 amici che venivano a trovarlo in un certo giorno.Il primo amico ha premuto il campanello 20 volte prima dell'apertura di Jerome, il secondo amico ha premuto il campanello 1/4 volte in più del primo amico di Jerome.Il terzo amico ha premuto il campanello 10 volte più del quarto amico.Se il quarto amico ha premuto il campanello 60 volte, quanti anelli del campanello hanno fatto il campanello?",,175,
"Solo deve leggere 4 pagine dal suo libro di testo scientifico, 20 pagine dal suo libro di testo di studi sociali, 7 pagine dal suo libro di testo di storia e 8 pagine dal suo libro di testo di geografia.Solo leggi 15 pagine lunedì.Se ha altri 4 giorni per completare tutta la sua lettura, quante pagine ha bisogno di leggere, in media, in un giorno?",,6,
"A John piace avere un bicchiere d'acqua con colazione, pranzo e cena.Alla fine, ne ha uno prima di andare anche a letto.John lo fa tutti i giorni feriali, ma nei fine settimana gli piace rilassarsi e invece cenare con una soda.Quanti bicchieri d'acqua bevono John in una settimana?",,26,
"Una banca nebbia arriva dall'oceano per coprire una città.Ci vogliono 10 minuti per coprire ogni 3 miglia della città.Se la città si trova a 42 miglia di fronte all'oceano fino al bordo interiore opposto, quanti minuti ci vorranno per la banca della nebbia per coprire l'intera città?",,140,
"Poppy sta risolvendo un puzzle da 1000 pezzi.Mette un quarto dei pezzi sul tabellone, poi sua madre mette un terzo dei pezzi rimanenti.Quanti pezzi di puzzle sono rimasti da posizionare?",,500,
"Cody mangia tre volte più biscotti di Amir.Se Amir mangia 5 biscotti, quanti biscotti mangiano entrambi insieme?",,20,
John ha 3 scatole.Ogni scatola è di 5 pollici per 6 pollici per 4 pollici.Le pareti hanno uno spessore di 1 pollice.Qual è il volume interno totale di tutte e 3 le caselle?,,72,
"Frankie guarda la TV dopo aver finito i compiti ogni sera.Lunedì e martedì ha visto un episodio di 1 ora del suo programma preferito ogni notte.Mercoledì ha visto alcuni episodi di uno spettacolo di 30 minuti.Giovedì ha terminato i compiti presto e ha visto un episodio di 1 ora e uno spettacolo di 30 minuti.Venerdì, ha avuto modo di rimanere sveglio fino a tardi per il fine settimana, quindi ha visto due episodi di 1 ora.Se ha visto 7 ore di TV in tutto, quanti episodi di 30 minuti hanno guardato mercoledì?",,3,
"Henry sta preparando i biscotti per una competizione di cottura locale.Vuole farne il doppio rispetto all'anno scorso.Quando finisce di cuocere, si rende conto di aver effettivamente cotto 15 biscotti in più di quanto intendesse.Lascia cadere 5 dei suoi biscotti mentre li sta facendo raffreddare e ora ha un totale di 110 biscotti.Quanti biscotti Henry ha preparato l'anno scorso?",,50,
"Una stazione di servizio locale sta vendendo gas per $ 3,00 al gallone.Una società di app offre un cashback da $ 0,20 per gallone se si riempie in questa stazione.Se qualcuno compra 10 litri di gas, quanto è con il loro gas, dopo i premi dei cashback?",,28,
"Marcell e Beatrice stanno organizzando una gara per vedere chi può mangiare il maggior numero di roll-up di frutta, quindi srotolano quanti ne possono trovare.Sfortunatamente, qualcuno commette un errore e Beatrice è stata larga due roll-up e 24 rimpasti lunghi mentre Marcell's era largo 3 roll-up e lunghi 14 roll-up.Se entrambi hanno mangiato il loro intero importo, quanti hanno mangiato in media?",,45,
La barca di Julia lanciò una perdita mentre era fuori sul lago.La barca stava assumendo due litri d'acqua per ogni dieci piedi remava di nuovo verso la riva.Ci vollero sedici secondi per remare venti piedi.La riva era di 64 secondi di distanza.Quanta acqua aveva assunto la barca quando Julia raggiunse la riva?,,16,
"Un'aula ha una lavagna condivisa tra i 4 insegnanti che si alternano usando la classe.Ogni insegnante ha 2 lezioni al giorno e usa la lavagna in ogni lezione.Se la lavagna viene pulita 3 volte per lezione, quante volte la lavagna è pulita in un giorno?",,24,
"Ryan pianta 2 fiori al giorno nel suo giardino.Dopo 15 giorni, quanti fiori ha se 5 non è cresciuto?",,25,
"Il telefono di Jamal può contenere 6 volte più fotografie di quelle che possono il telefono di Brittany.Il numero massimo di fotografie che il telefono di Brittany può contenere è 50 volte più del numero di uccelli nella fotografia di The Ducks di Jamal allo zoo.Se il telefono di Jamal può contenere 1800 fotografie, quante anatre possono essere viste nella fotografia di Ducks di Jamal allo zoo?",,6,
