premise,choice1,choice2,question,label,idx,changed
La coppia aveva deciso di venire a un compromesso.,Si erano scocciati di litigare.,Evitavano di discutere del problema.,cause,0,20,False
La donna decise di candidarsi per una carica pubblica.,Assunse un responsabile della campagna elettorale.,Testimoniò in tribunale.,effect,0,21,False
L'uomo aveva previsto temperature basse durante il suo viaggio.,Aveva messo in valigia indumenti caldi.,Stava viaggiando con una grande valigia.,effect,0,22,False
Lo studente conosceva la risposta alla domanda.,Alzò la mano.,Oziò.,effect,0,23,False
Gli occhi dell'uomo si riempirono di lacrime.,Gli era entrata della polvere negli occhi.,Aveva indossato degli occhialini.,cause,0,24,False
La giocatrice vinse cinque partite di fila.,La sua avversaria l'accusò di imbrogliare.,La sua avversaria si dispiacque per lei.,effect,0,25,False
L'insegnante strappò l'esame dello studente.,Beccò lo studente mentre copiava.,Le risposte dello studente erano sbagliate.,cause,0,26,False
Feci una pausa per smettere di parlare.,Persi la voce.,Rimasi senza fiato.,cause,1,27,True
Il cibo ghiacciato si scongelò.,Lo misi nel microonde.,Lo coprii con la pellicola trasparente.,cause,0,28,False
L'impiegato finse di stare poco bene.,Aveva crampi allo stomaco.,Voleva un giorno libero.,cause,1,29,False
La ragazza atterrò in piscina.,Corse sul bordo della piscina.,Saltò dal trampolino.,cause,1,30,False
I biglietti del film fecero il tutto esaurito.,Era il lancio del film.,Il film aveva ricevuto brutte recensioni.,cause,0,31,False
L'uomo aveva perso peso.,Le persone lo isolarono.,Le persone si complimentarono con lui.,effect,1,32,False
Sulle mani della ragazza comparvero delle vesciche.,Aveva scritto a macchina una lettera.,Si era arrampicata su una corda.,cause,1,33,False
L'artista del circo faceva il giocoliere mentre guidava un monociclo.,Il pubblico lo acclamò sbalordito.,L'acrobata dondolò da un trapezio.,effect,0,34,False
Ho perso la pazienza.,Il mio amico mi aveva fatto aspettare.,Il mio amico arrivò in tempo.,cause,0,35,False
I paesi in guerra volevano la pace.,Svilupparono armi nucleari.,Negoziarono un trattato.,effect,1,36,False
L'uomo prese delle pillole per dormire.,Divenne sonnolento.,Gli venne la febbre.,effect,0,37,False
La donna urtò il divano.,La gamba del divano si allentò.,Si fece un livido sul ginocchio.,effect,1,38,False
Il ragazzo spremette il palloncino.,Il palloncino scoppiò.,Il palloncino volò via.,effect,0,39,False
I viaggiatori si registrarono nella loro stanza d'albergo.,Svuotarono le valige.,Andarono all'aeroporto.,effect,0,40,False
Avevo dato un morso alla pesca.,La pesca si ammaccò.,Il succo schizzò fuori.,effect,1,41,False
Le mie mani diventarono appiccicose.,Avevo mangiato una ciambella.,Ero goloso di dolci.,cause,0,42,False
Spinsi la porta.,La porta si aprì.,La porta si chiuse.,effect,0,43,False
Gli attivisti boicottarono i prodotti.,Il prodotto era stato testato per assicurarne la qualità.,Il prodotto era stato fabbricato attraverso il lavoro minorile.,cause,1,44,False
Avevo fatto un buco nel muro.,Un topo sgusciò fuori dal buco.,Si sollevò della polvere dal buco.,effect,1,45,False
La donna era invidiosa della sorella.,La sorella era felice.,La sorella si era divorziata.,cause,0,46,False
Mi versai del vino sulla camicia.,Mi misi un grembiule.,Cambiai camicia.,effect,1,47,False
Il cassiere aprì la cassa.,Il cliente cercò nel suo portafogli.,Il cliente gli diede i propri soldi.,cause,1,48,False
Il musicista di strada attirò una folla.,La gente gli diede degli spiccioli.,Lui mandò via la folla.,effect,0,49,False
Il ragazzino piagnucolò con la babysitter.,Gli mancavano i genitori.,Era l'ora della merenda.,cause,0,50,False
Il radar del pilota rilevò una tempesta.,Il pilota navigò lontano dalla tempesta.,Il pilota volò attraverso la tempesta.,effect,0,51,False
L'albero perse le foglie.,Le foglie cambiarono colore.,Le foglie si accumularono per terra.,effect,1,52,False
Il ragazzo era in vena di dispetti.,Decise di giocare a carte con la sorella.,Decise di fare uno scherzo alla sorella.,effect,1,53,False
Il bambino si lamentava che doveva andare in bagno.,Il padre gli diede una soda da bere.,Il padre si fermò alla stazione di servizio.,effect,1,54,False
Il bambino sparse il mangime per pesci nell'acquario.,Il pesce balzò fuori dall'acquario.,Il pesce nuotò verso il mangime.,effect,1,55,False
Le opinioni politiche della donna erano mutate.,Cambiò il partito alla quale era affiliata.,Partecipò ad una protesta.,effect,0,56,False
Il lavandino del bagno era intasato.,Aprii il rubinetto.,Ci versai dentro dell'acido muriatico.,effect,1,57,False
Il passeggero scese dal treno.,Il treno era arrivato alla stazione.,Il treno emise un fischio.,cause,0,58,False
L'uomo premette il lembo umido dell'involucro.,Mise un francobollo sull'involucro.,Sigillò e chiuse l'involucro.,effect,1,59,False
Gli amici persero i contatti.,Si godevano la reciproca compagnia.,Si spostarono in città diverse.,cause,1,60,False
La contabile aveva malgestito i fondi della compagnia.,Fu licenziata dal suo ruolo.,Andò in maternità.,effect,0,61,False
Guardai l'orologio.,Avevo sentito l'orologio ticchettare.,Volevo controllare l'ora.,cause,1,62,False
Ebbi un crampo alla mano.,Avevo scritto il tema a mano.,Io e mia moglie ci tenevamo per mano.,cause,0,63,False
Il bullone si strinse.,L'avevo sostituito.,Avevo girato la chiave inglese.,cause,1,64,False
La coppia firmò il contratto d'affitto per un appartamento.,La coppia si trasferì nell'appartamento.,La città dichiarò inagibile l'appartamento.,effect,0,65,False
La donna si era seduta sulla veranda.,Voleva guardare il tramonto.,Pensò di aver visto un fulmine.,cause,0,66,False
L'uomo indossava un giubbotto di salvataggio in acqua.,Non sapeva nuotare.,L'acqua era bassa.,cause,0,67,False
La donna fece un errore di battitura nel programma.,Cancellò il documento.,Premette sul tasto backspace.,effect,1,68,False
La ragazza si era vantata con le amiche.,Aveva ricevuto un brutto voto.,Aveva vinto una gara.,cause,1,69,False
Il prato era fangoso.,Era diluviato nella notte.,Era pieno d'erbacce.,cause,0,70,False
La donna aveva dormito troppo.,Aveva passato la notte in albergo.,Aveva dimenticato di impostare la sveglia.,cause,1,71,False
L'uomo si era messo la protezione solare.,Si era seduto all'ombra.,Era andato in spiaggia.,cause,1,72,False
I ricercatori dimostrarono la teoria.,I ricercatori ritrattarono la teoria.,Le persone accettarono la teoria.,effect,1,73,False
I fan fischiarono durante la partita.,La partita aveva superato i limiti di tempo.,L'arbitro aveva preso una decisione sbagliata.,cause,1,74,False
Avevo inserito la combinazione nel lucchetto.,Chiusi il lucchetto.,Il lucchetto si aprì di scatto.,effect,1,75,False
La folla si infittì.,Il padre diede dei soldi al figlio.,Il padre prese il figlio per mano.,effect,1,76,False
La neve stava bloccando il vialetto.,Feci una palla di neve.,Spalai via la neve.,effect,1,77,False
I canottieri pagaiarono con i loro remi.,La canoa raggiunse la costa.,La canoa colpì un'onda.,effect,0,78,True
La ragazza perse il controllo della bicicletta.,Lasciò andare il manubrio.,Andò a sbattere contro un recinto.,effect,1,79,False
Accesi il ventilatore.,Spruzzò acqua sulla mia pelle.,Sentii dell'aria fredda passarmi addosso.,effect,1,80,False
I surfisti ritornarono sulla spiaggia.,Erano fradici.,Avevano visto uno squalo.,cause,1,81,False
Tirai via il tappo dalla vasca.,L'acqua della vasca si prosciugò.,L'acqua schizzò sul pavimento.,effect,0,82,False
Il marito si sentì colpevole di aver tradito la moglie.,L'accuso di infedeltà.,Confessò di esserle stato infedele.,effect,1,83,False
L'inchiostro sul poster si sbavò.,Avevo aspettato che l'inchiostro asciugasse.,Avevo rovesciato dell'acqua sul poster.,effect,1,84,False
Il bambino si svegliò urlando.,Aveva avuto un incubo.,Aveva bagnato il letto.,cause,0,85,False
Il ragazzo mise i piedi sul tavolo.,I padre si sedette al tavolo.,Il padre lo sgridò.,effect,1,86,False
Il mio amicò girò la testa verso di me.,Avevo gridato il suo nome.,Avevo agitato le braccia.,cause,0,87,False
Il governo aveva oppresso i suoi cittadini.,I cittadini inscenarono una rivolta.,I cittadini si registrarono per votare.,effect,0,88,False
Un ragazzo si era perso nel bosco.,Montò una tenda.,Urlò aiuto.,effect,1,89,False
La donna aveva viaggiato all'estero.,Voleva imparare a disegnare.,Voleva conoscere altre culture.,cause,1,90,False
L'uomo era geloso dei suoi colleghi.,I suoi colleghi avevano avuto una promozione.,I suoi colleghi lavoravano fino a tardi.,cause,0,91,False
L'uomo aveva assistito agli alieni.,Aveva avuto delle allucinazioni.,Stava meditando.,cause,0,92,False
I capelli dell'uomo divennero biondi.,Ci aveva messo della candeggina.,Ci aveva messo dello shampoo.,cause,0,93,False
L'artista creò una nuova opera.,Aveva criticato la sua opera precedente.,Aveva avuto un impeto di ispirazione.,cause,1,94,False
Il figlio si trasferì lontano da casa.,Era stato congedato dal servizio militare.,Stava andando all'università.,cause,1,95,False
Dei libri caddero dalla libreria.,Gli scaffali erano ricoperti da polvere.,Un terremoto aveva scosso la libreria.,cause,1,96,False
L'elettricità nella casa saltò.,Accesi una luce.,Resettai il salvavita.,effect,1,97,True
Facemmo un giro sulla montagne russe.,Sembrava spaventoso.,Sembrava divertente.,cause,1,98,False
La busta di popcorn iniziò a scoppiettare.,Avevo versato del burro nella busta.,L'avevo riscaldata in microonde.,cause,1,99,False
Un albero è caduto sulla linea elettrica.,È andata via la luce in tutto il quartiere.,Le previsioni prevedevano dei venti forti.,effect,0,100,False
L'oratore ha fatto dei commenti politicamente scorretti.,Ha annoiato il pubblico.,Ha offeso il pubblico.,effect,1,101,False
Mi sono punto con la spilla.,La mia faccia si è imperlata di sudore.,Si è formata una goccia di sangue sul mio dito.,effect,1,102,False
Il pesce galleggiava sulla superficie della vasca.,Aveva fame.,Era morto.,cause,1,103,False
L'uomo aveva la voce rauca.,Aveva un raffreddore.,Ha smesso di fumare.,cause,0,104,False
Le porte dell'ascensore si sono aperte.,L'ascensore è arrivato al piano previsto.,L'ascensore si è bloccato tra due piani.,cause,0,105,False
Il ragazzino è sgattaiolato via di casa.,Ha mentito ai suoi genitori.,I suoi genitori lo hanno messo in punizione.,cause,1,106,False
Il bagno si è allagato.,Il gabinetto si è intasato.,Lo scaldabagno si è rotto.,cause,0,107,False
Il cucciolo non si allontanava dal padrone.,Il padrone ha messo un collare al cucciolo.,Il padrone teneva il cucciolo al guinzaglio.,cause,1,108,False
L'uomo ha colto il suo riflesso.,Stava sotto un albero dai rami tentacolari.,Stava nei pressi di un lago calmo.,cause,1,109,False
Ho perso la telefonata della mia ragazza.,L'ho richiamata.,L'ho incontrata per cena.,effect,0,110,False
La famiglia ha setacciato il quartiere.,Il loro cane era scappato di casa.,Dei gioielli costosi erano spariti da casa loro.,effect,0,111,False
Quando espiravo vedevo il mio fiato.,Fuori faceva freddo.,Avevo delle fitte al petto.,cause,0,112,False
Gli impiegati hanno costituito un sindacato.,Volevano delle condizioni lavorative migliori.,Il loro datore di lavoro ha aumentato il loro salario.,cause,0,113,False
Ho fatto una crostata di mele.,La cucina puzzava di marcio.,La cucina aveva un profumino accogliente.,effect,1,114,False
La donna faticava a camminare.,Indossava dei tacchi alti.,Si era tolta le scarpe.,cause,0,115,False
Del vapore si è sollevato dalla pentola piena d'acqua.,L'acqua bolliva.,Ho coperto la pentola.,cause,0,116,False
Tutti i miei calzini erano nel bucato da lavare.,Ho indossato dei sandali.,Ho indossato degli stivali.,effect,0,117,False
L'argomentazione del politico fu considerata assurda.,Perse l'appoggio degli elettori.,Fu accusato di corruzione.,effect,0,118,False
Tutti erano contro il fidanzamento ufficiale della coppia.,La coppia era in dolce attesa.,La coppia si è sposata di nascosto.,effect,1,119,False
Il palazzo è stato dedicato al milionario.,Il milionario voleva distruggere il palazzo.,Il milionario ha contribuito ai fondi per la sua costruzione.,cause,1,120,False
L'assistente alle vendite ha accusato di furto la ragazza.,L'assistente alle vendite ha visto la ragazza infilare della mercanzia dentro la sua borsetta.,L'assistente alle vendite ha aiutato la ragazza a trovare la borsetta che le piaceva.,cause,0,121,False
La nazione ha dichiarato guerra al territorio vicino.,I soldati sono stati mandati in missione a combattere.,I soldati si sono riuniti con le proprie famiglie.,effect,0,122,False
Il tribunale ha confermato la sentenza controversa.,È scattata una rivolta davanti al tribunale di giustizia.,Una coppia ha scambiato le promesse di matrimonio davanti al tribunale di giustizia.,effect,0,123,False
La ragazza sentiva odore di bruciato.,Ha preso dei biscotti dal barattolo.,Ha lasciato i biscotti nel forno.,cause,1,124,False
Pioveva a dirotto.,La tempesta è peggiorata.,Sono scappato dentro casa.,effect,1,125,False
Il palazzo è stato evacuato.,L'ascensore ha smesso di funzionare.,È scattato l'allarme antincendio.,cause,1,126,False
Il padre non sopportava l'alcolismo del figlio.,Il padre ha comprato una birra al figlio.,Il padre ha cacciato di casa il figlio.,effect,1,127,False
L'avvocata ha fatto le scale per salire al suo ufficio.,La segretaria è tornata a casa dopo il lavoro.,L'ascensore era guasto.,cause,1,128,False
L'uomo era infastidito dal suo amico.,Il suo amico lo ha interrotto.,Il suo amico gli ha offerto il pranzo.,cause,0,129,False
La ragazza ha dato i soldi alla cassiera.,La cassiera ha dato il resto alla ragazza.,La cassiera si è dimenticata di dare lo scontrino alla ragazza.,effect,0,130,False
La donna fu messa su una sedia a rotella.,Era rimasta paralizzata in un incidente.,È entrata in ospedale su di una barella.,cause,0,131,False
I cittadini appesero la bandiera nazionale sulla facciata delle loro case.,Il paese stava commemorando la sua indipendenza.,Il paese stava affrontando una grave situazione economica.,cause,0,132,False
La squadra ha perso il torneo.,Hanno deluso i loro fan.,Hanno ispirato i loro fan.,effect,0,133,False
Il mio amico mi ha fatto notare che avevo del cibo incastrato fra i denti.,Mi sono sentito in imbarazzo.,Ero fiero di me stesso.,effect,0,134,False
Il ragazzo non ha passato l'esame di storia.,Ha prestato attenzione in classe.,Si è dimenticato di studiare.,cause,1,135,False
Il palazzo in centro città è crollato.,Un terremoto ha colpito la città.,La criminalità nella città è aumentata.,cause,0,136,False
La ragazza dell'uomo l'ha lasciato.,Lui l'ha implorata di tornare assieme.,Lei lo ha presentato ai suoi genitori.,effect,0,137,False
I due bambini si abbassarono simultaneamente per prendere il pallone.,Il pallone è rotolato via.,Hanno battuto la testa uno contro l'altro.,effect,1,138,False
Il procione ha rovistato il bidone della spazzatura.,C'era del cartone all'interno del bidone della spazzatura.,Il coperchio non copriva il bidone della spazzatura.,cause,1,139,False
Il ragazzo ha temperato la matita.,Costava poco.,Era poco appuntita.,cause,1,140,False
La cassiera non ha concesso alla donna un rimborso per il vestito.,La donna ha perso lo scontrino.,Il vestito non le stava bene addosso.,cause,0,141,False
Il graffio sulla mia pelle era profondo.,È guarito velocemente.,Ha lasciato una cicatrice.,effect,1,142,False
I passeggeri del treno guardarono strano l'uomo.,Stava fissando il pavimento.,Stava parlando da solo.,cause,1,143,False
Il bambino ha lasciato delle briciole sul pavimento.,Le formiche si sono arrampicate verso le briciole.,Il bambino ha messo via il pane.,effect,0,144,False
La donna diede un fazzolleto a sua sorella.,La sorella della donna intrecciò le mani.,La sorella della donna cominciò a piangere.,cause,1,145,False
L'uomo prese una mentina.,Le sue labbra erano screpolate.,Temeva di avere l'alito cattivo.,cause,1,146,False
La coppia se ne andò presto alla volta dello spettacolo.,Avevano previsto del traffico attorno al teatro.,Avevano ottenuto le indicazioni per il teatro.,cause,0,147,False
La donna era rimasta a casa dal lavoro.,Il suo capo l'ha lodata.,La sua collega di lavoro l'ha coperta.,effect,1,148,False
L'uomo ha firmato la petizione degli attivisti.,Sosteneva la loro causa.,Li ha denunciati come pazzi.,cause,0,149,False
All'uomo batteva forte il cuore prima della sua esibizione.,Aveva il panico da palcoscenico.,Aveva memorizzato le sue battute.,cause,0,150,False
Mi ero perso.,Ho contato i miei soldi.,Ho aperto una mappa.,effect,1,151,False
La frutta matura rimase esposta al sole.,È stata mangiata.,Si è avvizzita.,effect,1,152,False
La macchina si è rotta.,L'ho messa in moto.,Il motore si è surriscaldato.,cause,1,153,False
L'uomo si è fatto male alla schiena.,Ha visitato uno psichiatra.,È rimasto a letto per svariati giorni.,effect,1,154,False
Ho acceso un fuoco nel caminetto.,Non c'era più legna.,Faceva freddo nella casa.,cause,1,155,False
La donna ha smesso di fare jogging.,Le è venuto un crampo al fianco.,Si è ripresa un po'.,cause,0,156,False
Ho bussato alla porta della mia vicina.,La mia vicina mi ha invitata dentro.,La mia vicina ha lasciato casa sua.,effect,0,157,False
La donna emise un sospiro di frustrazione.,Suo marito non ha compreso le sue preoccupazioni.,Suo marito le ha dato un bacio di addio.,cause,0,158,False
La maestra ha elogiato lo studente.,Lo studente ha risposto correttamente.,Lo studente ha esitato nel rispondere alla domanda.,cause,0,159,False
La donna aveva finito le uova.,È andata alla fattoria.,È andata al supermercato.,effect,1,160,False
Ho incontrato un vecchio amico.,Gli ho svelato un segreto.,L'ho abbracciato.,effect,1,161,False
La donna evitò di entrare nel lago.,Ha pescato un pesce.,Sembrava inquinato.,cause,1,162,False
Lo studente arrivò in classe completamente fradicio.,Il suo ombrello si era rotto.,La sua bici era stata rubata.,cause,0,163,False
Il cursore sullo schermo del computer si è mosso.,L'utente ha cliccato il mouse.,L'utente ha spostato il mouse.,cause,1,164,False
L'autista ha fatto una deviazione.,C'è stato un incidente sulla strada principale.,Ha seguito il furgone davanti a lei.,cause,0,165,False
Ho appeso la biancheria bagnata sullo stendino di fuori.,La biancheria si è asciugata.,La biancheria si è macchiata.,effect,0,166,False
La donna ha indossato gli occhiali da sole.,La luce del sole era abbagliante.,Ha fermato un taxi.,cause,0,167,False
L'uomo ammirò il cielo notturno.,Desiderava fosse estate.,Pensava che fosse stupendo.,cause,1,168,False
Mi sentivo esausto.,Sono andato a dormire presto.,Sono rimasto sveglio tutta la notte.,effect,0,169,True
L'uomo è andato dal barbiere.,Si stava lasciando crescere i capelli.,I suoi capelli stavano diventando lunghi.,cause,1,170,False
Il ragazzino faceva dei brutti scherzi al suo nuovo compagno di classe.,Il ragazzino ha dato il benvenuto al suo nuovo compagno di classe.,Al ragazzino non piaceva il nuovo compagno di classe.,cause,1,171,False
Bramavo un bicchiere di latte.,Stavo mangiando dei biscotti.,Stavo infornando del pane.,cause,0,172,False
È iniziato a piovere.,L'autista ha accesso i fari.,L'autista ha messo la macchina in retromarcia.,effect,0,173,False
Il parcheggio del palazzo era vuoto.,Ho parcheggiato dall'altro lato della strada.,Ho parcheggiato vicino all'entrata.,effect,1,174,False
La scrittrice ha mancato la scadenza per inviare la bozza.,Aveva il blocco dello scrittore.,Ha corretto la bozza.,cause,0,175,False
L'impiegato mi ha chiuso il telefono in faccia.,Ho chiesto di rivolgermi ad un superiore.,Gli ho fornito il mio numero identificativo.,cause,0,176,False
Il vento soffiò attraverso la finestra aperta.,Il campanello squillò.,Le tende oscillarono.,effect,1,177,False
C'è stata una interruzione di corrente elettrica a casa mia.,Ho scollegato una lampada.,Ho bruciato un fusibile.,cause,1,178,False
Il cuturista ha lanciato un gemito.,Ha flesso i muscoli allo specchio.,Ha sollevato la barra sopra la sua testa.,cause,1,179,False
Lo studente ha provato a fare i calcoli a mente.,Ha estratto una calcolatrice.,Si è confuso.,effect,1,180,False
Il bambino si è addormentato.,Il papà ha cambiato il pannolino del bambino.,Il padre ha cullato dolcemente il bambino.,cause,1,181,False
La bambina ha tirato il gavettone al bambino.,Il ragazzo ha avuto una commozione cerebrale.,Il ragazzo si è inzuppato.,effect,1,182,False
Il fotografo si è dimenticato di usare il flash.,Le foto sono uscite sfocate.,Tutte le persone nella foto si sono rifiutate di sorridere.,effect,0,183,False
Ho rifiutato l'invito alla festa di compleanno.,Ero solo.,Ero fuori città.,cause,1,184,False
Ho fatto ginnastica.,Mi sentivo pieno di energie.,Ero spaventato.,cause,0,185,False
Ho strizzato la spugna umida.,Ha assorbito dell'acqua.,È colata dell'acqua.,effect,1,186,False
I vacanzieri hanno raggiunto il villaggio turistico con un traghetto.,Il villaggio turistico era pieno.,Il villaggio turistico si trovava su di una isola.,cause,1,187,False
La ragazzina si è fatta un tatuaggio.,Aveva paura degli aghi.,Voleva ribellarsi.,cause,1,188,False
Una macchina ignota ha parcheggiato fuori casa mia.,Mi sono insospettita.,Ho chiamato la polizia.,effect,0,189,False
Il criminale si è costituito.,Le prove lo hanno incriminato.,Non c'erano prove contro di lui.,cause,0,190,False
Un uomo robusto ha deciso di perdere peso.,Ha escluso i dolci dalla dieta.,Ha evitato la caffeina.,effect,0,191,False
La ragazza ha calpesatato del ghiaccio.,È scivolata.,Ha rabbrividito.,effect,0,192,False
La donna aveva le borse sotto gli occhi.,È rimasta tutta la notte sveglia.,Ha fatto addormentare il figlio.,cause,0,193,False
La lava fuoriusciva dal vulcano.,Il vulcano ha eruttato.,Il vulcano era dormiente.,cause,0,194,False
La donna ha indossato le sue scarpe.,Conosceva tutti alla festa.,Voleva lasciare la festa.,cause,1,195,False
Ho pagato l'addetto del casello.,Mi ha lasciato passare oltre il casello.,Mi ha trattenuto al casello.,effect,0,196,False
Il dirigente è andato in bancarotta.,Ha venduto tutte le azioni della compagnia.,Ha sperperato le sue fortune.,cause,1,197,False
L'uomo è andato dal dottore.,Il dottore era in congedo.,L'uomo si era ammalato.,cause,1,198,False
Sono uscito dalla mia stanza da letto attraverso la finestra.,La casa era in fiamme.,La casa era vuota.,cause,0,199,False
Le dita del bambino erano raggrinzite.,Ha fatto una doccia lunga.,Si è cosparso le mani di sapone.,cause,0,200,False
Ho sputato il latte.,Il latte era acido.,La mia bocca era asciutta.,cause,0,201,False
Ho perso l'autobus.,Ero in anticipo per il lavoro.,Sono arrivato tardi a lavoro.,effect,1,202,False
Il camion si è scontrato con l'auto.,Il camion ha accelerato.,La macchina si è sfasciata.,effect,1,203,False
La squadra ha truccato il concorso a proprio favore.,Hanno vinto.,Si sono ritirati.,effect,0,204,False
La bottiglia della bevanda ha frizzato.,Ho capovolto la bottiglia.,Ho svitato il tappo.,cause,1,205,False
Il bambino è rimasto chiuso fuori di casa.,È rientrato infilandosi in una finestra.,Si è arrampicato sul tetto.,effect,0,206,False
Il campanello suonò.,Il visitatore bussò alla porta con il battente .,La donna sbirciò fuori attraverso il buco della serratura nella porta.,effect,1,207,False
L'uomo si macchiò l'abito.,L'ha lavato a secco.,L'ha appeso nell'armadio.,effect,0,208,False
La ragazza schiacciò il tubetto del dentifricio.,Il dentifricio schizzò fuori dal tubetto.,La ragazza sputò il dentifricio.,effect,0,209,False
Le morti civili dovute alla guerra si impennarono.,I pacifisti organizzarono una protesta.,I pacifisti tennero una parata.,effect,0,210,False
La ragazza si è strappata via il fiocco dai capelli.,Ha legato il fiocco.,Il fiocco la faceva sembrare infantile.,cause,1,211,False
L'uomo si è fatto una chirurgia plastica.,È invecchiato.,Sembrava più giovane.,effect,1,212,False
Un pulcino ha fatto capolino dall'uovo.,L'uovo si è schiuso.,Ho rotto l'uovo.,cause,0,213,False
Il prigioniero era denutrito.,È morto.,È scappato via.,effect,0,214,False
L'uomo perse l'equilibrio sulla scala.,Ha salito la scala.,È caduto dalla scala.,effect,1,215,False
Il bambino ha ruttato.,Ha bevuto un sorso di soda.,Ha aperto una lattina di soda.,cause,0,216,False
Uno spiffero freddo entrò dalla finestra.,Mi sono rilassata.,Ho rabbrividito.,effect,1,217,False
Lo studente ha ricevuto una borsa di studio per l'università.,I suoi compagni di classe la rispettavano.,Aveva dei voti alti.,cause,1,218,False
La ragazza ha scherzato con il ragazzo.,Lei abitava alla porta accanto.,Lei aveva una cotta per lui.,cause,1,219,False
Il vagabondo affamato ha rubato del cibo.,Faceva pietà.,Non aveva denaro.,cause,1,220,False
Ho chiamato il mio amico per chiaccherare.,Cercavo la solitudine.,Mi sentivo solo.,cause,1,221,False
L'uomo protese la mano verso di me.,Gli ho stretto la mano.,L'ho schiaffeggiato.,effect,0,222,False
Mi sono scansato.,I fuochi d'artificio sono stati lanciati in aria.,Il frisbee è planato verso la mia testa.,cause,1,223,False
La ragazza si mordeva le unghia.,Era preoccupata.,Era sorpresa.,cause,0,224,False
Ho girato pagina al calendario.,Ho segnato un appuntamento sul calendario.,Era l'inizio di un nuovo mese.,cause,1,225,False
Il marito ha scoperto che la moglie lo tradiva.,Ha licenziato il suo avvocato.,Ha chiesto il divorzio.,effect,1,226,False
La ragazza ha fatto cadere la palla di gomma.,La palla ha rimbalzato.,La palla brillava.,effect,0,227,False
La ragazza ha commesso un errore nel suo compito.,Ha indovinato la risposta.,Ha cancellato la risposta.,effect,1,228,False
Il giocatore ha placcato il suo avversario.,Il suo avversario ha preso il passaggio.,Il suo avversario è caduto a terra.,effect,1,229,False
Ho raccolto i pomodori a grappolo.,Erano maturi.,Li ho annaffiati.,cause,0,230,False
L'uomo voleva fare il romantico.,Ha incontrato la sua ex a pranzo.,Ha comprato dei cioccolatini alla sua ragazza.,effect,1,231,False
Il mercurio nel termometro si è alzato.,Ho fatto cadere il termometro.,Il clima si è scaldato.,cause,1,232,False
Un tornado è passato attraverso la città.,Il tetto del tribunale è volato via.,L'autostrada era pericolosamente ghiacciata.,effect,0,233,False
Lo studente andava a ripetizioni.,I suoi voti sono migliorati.,Ha copiato all'esame.,effect,0,234,False
Mi sentivo a mio agio.,Mi sono inginocchiato per terra.,Mi sono avvolta in una coperta.,cause,1,235,False
Ho lucidato la pietra.,È diventata scivolosa.,È diventata lucida.,effect,1,236,False
Ho aggiunto dello zucchero nel caffè.,Il caffè emanava un odore fortissimo.,Il caffè aveva un sapore dolce.,effect,1,237,False
L'uomo sfogliava le pagine.,Si è tagliato con la carta.,Ha distrutto le pagine col tritacarta.,effect,0,238,False
Ho battuto il chiodo con il martello.,Il chiodo è affondato nel legno.,Il chiodo si è arrugginito.,effect,0,239,False
